time	radps
3,25525	17,73255
3,25871	17,75000
3,26188	17,41839
3,26489	17,68019
3,26794	17,36603
3,27114	17,99434
3,27442	17,20895
3,27758	17,81981
3,28066	16,96460
3,28378	18,08161
3,28731	17,24385
3,29075	18,01180
3,29387	17,31367
3,29693	18,11652
3,29997	17,92453
3,30315	18,08161
3,30619	17,69764
3,30934	17,62783
3,31245	18,18633
3,31611	17,61037
3,31955	18,34341
3,32317	17,50565
3,32624	18,08161
3,32960	18,04670
3,33276	18,11652
3,33592	17,69764
3,33913	18,39577
3,34211	18,06416
3,34527	18,65757
3,34882	17,62783
3,35240	18,50049
3,35560	17,69764
3,35863	18,76229
3,36169	17,62783
3,36478	18,39577
3,36814	17,73255
3,37131	18,77974
3,37446	17,55801
3,37799	18,69248
3,38158	18,18633
3,38474	18,77974
3,38793	17,80236
3,39114	18,88446
3,39426	18,20378
3,39740	18,77974
3,40046	18,11652
3,40361	18,39577
3,40675	18,32596
3,40977	18,53540
3,41342	18,01180
3,41673	18,53540
3,42010	18,39577
3,42338	18,70993
3,42651	17,81981
3,42955	18,95428
3,43315	18,53540
3,43646	18,58776
3,43971	18,08161
3,44326	18,90192
3,44641	18,37832
3,44949	18,84956
3,45268	18,04670
3,45575	18,70993
3,45883	18,25614
3,46198	18,81465
3,46508	18,39577
3,46868	18,34341
3,47183	19,11136
3,47492	19,02409
3,47808	18,53540
3,48167	18,69248
3,48475	18,84956
3,48781	18,90192
3,49090	18,46558
3,49399	18,77974
3,49745	18,81465
3,50053	18,90192
3,50367	18,72738
3,50724	18,81465
3,51062	18,83210
3,51385	19,42551
3,51696	18,58776
3,52006	19,28589
3,52311	18,70993
3,52628	19,61750
3,52971	18,69248
3,53324	19,02409
3,53622	18,91937
3,53978	19,73967
3,54325	18,39577
3,54629	19,68731
3,54937	18,64012
3,55238	19,86185
3,55555	18,43068
3,55863	19,94911
3,56200	18,83210
3,56538	19,72222
3,56848	18,65757
3,57209	19,86185
3,57555	18,46558
3,57870	19,84439
3,58175	18,70993
3,58483	19,84439
3,58791	18,70993
3,59101	19,86185
3,59409	18,88446
3,59708	19,93166
3,60026	18,70993
3,60391	20,12365
3,60727	18,46558
3,61044	19,98402
3,61346	19,04154
3,61650	19,56514
3,61963	18,83210
3,62265	19,93166
3,62577	19,16372
3,62923	19,93166
3,63282	18,76229
3,63633	20,17601
3,63988	19,79203
3,64297	18,88446
3,64603	20,19346
3,64905	19,19862
3,65220	20,33309
3,65527	18,46558
3,65831	20,33309
3,66195	19,23353
3,66540	20,36799
3,66912	18,76229
3,67232	20,36799
3,67535	19,80949
3,67840	19,94911
3,68153	19,66986
3,68488	20,10619
3,68801	20,03638
3,69113	19,65241
3,69426	19,98402
